timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787917578,enhanced,0,0,0,0,0,0,0,0
1787917583,enhanced,0,0,0,0,0,0,0,0
1787917588,enhanced,0,0,0,0,0,0,0,0
1787917593,enhanced,0,0,0,0,0,0,0,0
1787917598,enhanced,0,0,0,0,0,0,0,0
1787917603,enhanced,0,0,0,0,0,0,0,0
1787917608,enhanced,0,0,0,0,0,0,0,0
1787917613,enhanced,0,0,0,0,0,0,0,0
1787917618,enhanced,0,0,0,0,0,0,0,0
1787917623,enhanced,0,0,0,0,0,0,0,0
1787917629,enhanced,0,0,0,0,0,0,0,0
1787917634,enhanced,652,32,86,436,21,30,0,0
1787917639,enhanced,652,32,86,436,21,30,0,0
1787917644,enhanced,652,32,86,436,21,30,0,0
1787917649,enhanced,872,21,94,869,21,30,0,0
1787917654,enhanced,872,21,94,869,21,30,0,0
1787917660,enhanced,1293,26,135,1126,23,44,23573009014,247837354
1787917668,enhanced,1293,26,135,1126,23,44,0,0
1787917673,enhanced,1293,26,135,1126,23,44,0,0
1787917679,enhanced,6733,140,818,1918,39,77,0,0
1787917684,enhanced,6733,140,818,1918,39,77,0,0
1787917689,enhanced,28614,596,1034,3337,69,208,0,0
1787917695,enhanced,28614,596,1034,3337,69,208,0,0
1787917700,enhanced,28614,596,1034,3337,69,208,33724989530,10504784712
1787917708,enhanced,39799,829,1045,5478,114,323,0,0
1787917714,enhanced,39799,829,1045,5478,114,323,0,0
1787917719,enhanced,39799,829,1045,5478,114,323,0,0
1787917724,enhanced,38423,800,1105,18062,376,1464,0,0
1787917730,enhanced,38423,800,1105,18062,376,1464,65992405062,42256177658
1787917738,enhanced,42936,894,1151,34720,723,2238,0,0
1787917743,enhanced,42936,894,1151,34720,723,2238,0,0
1787917749,enhanced,42936,894,1151,34720,723,2238,0,0
1787917754,enhanced,42936,894,1151,34720,723,2238,0,0
1787917759,enhanced,41166,914,1168,42576,946,3146,0,0
1787917765,enhanced,41166,914,1168,42576,946,3146,0,0
1787917770,enhanced,41166,914,1168,42576,946,3146,194447445966,174733935992
1787918083,enhanced,14793,462,1005,13049,407,1380,0,0
1787918088,enhanced,14793,462,1005,13049,407,1380,0,0
1787918093,enhanced,15435,482,1002,13026,407,1380,0,0
1787918098,enhanced,15435,482,1002,13026,407,1380,0,0
1787918103,enhanced,15435,482,1002,13026,407,1380,0,0
1787918109,enhanced,14804,462,1002,13317,416,1379,0,0
1787918114,enhanced,14804,462,1002,13317,416,1379,0,0
1787918119,enhanced,13362,417,1001,12866,402,1379,0,0
1787918124,enhanced,13362,417,1001,12866,402,1379,0,0
1787918130,enhanced,13362,417,1001,12866,402,1379,283296142332,267621479308
