timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787926085,enhanced,759,37,79,452,22,27,0,0
1787926090,enhanced,759,37,79,452,22,27,15575560721,57424687
1787926100,enhanced,317,9,73,665,20,27,15590908212,71054692
1787926112,enhanced,1986,62,238,806,25,41,0,0
1787926118,enhanced,1986,62,238,806,25,41,0,0
1787926123,enhanced,1986,62,238,806,25,41,0,0
1787926129,enhanced,18065,564,846,1508,47,60,0,0
1787926134,enhanced,18065,564,846,1508,47,60,0,0
1787926140,enhanced,18065,564,846,1508,47,60,23639032259,6735860822
1787926152,enhanced,21056,658,850,1963,61,76,0,0
1787926158,enhanced,20914,653,850,2299,71,88,0,0
1787926163,enhanced,20914,653,850,2299,71,88,0,0
1787926168,enhanced,20914,653,850,2299,71,88,0,0
1787926174,enhanced,20688,646,851,2605,81,106,0,0
1787926179,enhanced,20688,646,851,2605,81,106,0,0
1787926184,enhanced,20688,646,851,2605,81,106,0,0
1787926190,enhanced,20517,641,849,2840,88,114,34077547587,15366817834
1787926201,enhanced,20517,641,849,2840,88,114,0,0
1787926207,enhanced,20037,626,849,2995,93,117,0,0
1787926212,enhanced,20037,626,849,2995,93,117,0,0
1787926217,enhanced,20345,635,852,3198,99,128,0,0
1787926223,enhanced,20345,635,852,3198,99,128,0,0
1787926228,enhanced,20345,635,852,3198,99,128,0,0
1787926233,enhanced,20614,644,849,3447,107,133,0,0
1787926239,enhanced,20614,644,849,3447,107,133,0,0
1787926244,enhanced,20614,644,849,3447,107,133,0,0
1787926249,enhanced,20656,645,851,3672,114,146,0,0
1787926255,enhanced,20656,645,851,3672,114,146,0,0
1787926260,enhanced,20656,645,851,3672,114,146,48590697501,27415416220
1787926271,enhanced,19948,623,850,3863,120,185,0,0
1787926276,enhanced,19948,623,850,3863,120,185,0,0
1787926282,enhanced,18258,570,850,4649,145,337,0,0
1787926287,enhanced,18258,570,850,4649,145,337,0,0
1787926292,enhanced,12570,392,852,6480,202,634,0,0
1787926297,enhanced,12570,392,852,6480,202,634,0,0
1787926303,enhanced,12570,392,852,6480,202,634,0,0
1787926308,enhanced,8381,261,768,8837,276,634,0,0
1787926313,enhanced,8381,261,768,8837,276,634,0,0
1787926318,enhanced,8381,261,768,8837,276,634,0,0
1787926324,enhanced,8915,278,851,12591,393,634,0,0
1787926329,enhanced,8915,278,851,12591,393,634,0,0
1787926334,enhanced,8915,278,851,12591,393,634,0,0
1787926339,enhanced,8244,257,845,15816,494,634,0,0
1787926344,enhanced,8244,257,845,15816,494,634,0,0
1787926350,enhanced,8244,257,845,15816,494,634,52923109516,31365493370
1787926359,enhanced,3321,103,658,17389,543,634,0,0
1787926365,enhanced,3321,103,658,17389,543,634,0,0
1787926370,enhanced,491,15,464,17389,543,634,52926583665,31366056404
1787926380,enhanced,491,15,464,17389,543,634,52929159636,31366438447
1787926389,enhanced,26,0,1,17389,543,634,0,0
1787926394,enhanced,26,0,1,17389,543,634,0,0
1787926400,enhanced,30,0,1,16937,546,634,52931211153,31366968062
1787926409,enhanced,30,0,1,16937,546,634,0,0
1787926415,enhanced,40,1,16,16462,531,634,0,0
1787926420,enhanced,40,1,16,16462,531,634,52933382458,31367424094
1787926429,enhanced,85,2,57,14994,517,634,0,0
1787926434,enhanced,85,2,57,14994,517,634,0,0
1787926440,enhanced,85,2,57,14994,517,634,52935858991,31367955310
1787926449,enhanced,143,4,60,14090,469,633,0,0
1787926454,enhanced,143,4,60,14090,469,633,0,0
1787926459,enhanced,404,14,67,10089,360,633,0,0
1787926465,enhanced,404,14,67,10089,360,633,0,0
1787926470,enhanced,404,14,67,10089,360,633,52946317537,31369383176
1787926479,enhanced,417,14,74,5728,204,633,0,0
# monitor exited at 1787926505
