timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787621568,enhanced,0,0,0,0,0,0,0,0
1787621573,enhanced,0,0,0,0,0,0,0,0
1787621578,enhanced,0,0,0,0,0,0,0,0
1787621583,enhanced,0,0,0,0,0,0,0,0
1787621589,enhanced,0,0,0,0,0,0,0,0
1787621594,enhanced,0,0,0,0,0,0,0,0
1787621599,enhanced,0,0,0,0,0,0,0,0
1787621604,enhanced,0,0,0,0,0,0,0,0
1787621609,enhanced,0,0,0,0,0,0,0,0
1787621614,enhanced,0,0,0,0,0,0,0,0
1787621619,enhanced,0,0,0,0,0,0,0,0
1787621624,enhanced,0,0,0,0,0,0,0,0
1787621629,enhanced,0,0,0,0,0,0,0,0
1787621634,enhanced,0,0,0,0,0,0,0,0
1787621639,enhanced,0,0,0,0,0,0,0,0
1787621645,enhanced,905,45,89,523,26,37,0,0
1787621650,enhanced,905,45,89,523,26,37,834437609474,770293107936
1787621658,enhanced,1127,28,93,959,23,36,0,0
1787621663,enhanced,1127,28,93,959,23,36,0,0
1787621669,enhanced,1127,28,93,959,23,36,0,0
1787621674,enhanced,1000,16,88,1454,24,38,0,0
1787621679,enhanced,1000,16,88,1454,24,38,0,0
1787621685,enhanced,1000,16,88,1454,24,38,0,0
1787621690,enhanced,1051,13,87,1835,22,37,1865783088824,1831858237956
1787621699,enhanced,1051,13,87,1835,22,37,0,0
1787621704,enhanced,1228,12,99,2186,22,37,0,0
1787621710,enhanced,1228,12,99,2186,22,37,1865805269492,1831862007392
1787621719,enhanced,524,5,49,1928,20,37,0,0
1787621724,enhanced,524,5,49,1928,20,37,0,0
1787621730,enhanced,524,5,49,1928,20,37,1890022442528,1855624924448
1787621739,enhanced,36426,379,933,10746,111,373,0,0
1787621744,enhanced,36426,379,933,10746,111,373,0,0
1787621750,enhanced,97999,1020,1111,21733,226,690,1922308562744,1887328204844
1787621759,enhanced,97999,1020,1111,21733,226,690,0,0
1787621764,enhanced,101754,1059,1094,30762,320,965,0,0
1787621770,enhanced,101754,1059,1094,30762,320,965,1953647176496,1918215517196
1787621779,enhanced,102237,1064,1133,39052,406,1284,0,0
1787621785,enhanced,102237,1064,1133,39052,406,1284,0,0
1787621790,enhanced,102842,1071,1153,50775,528,1696,1984607150992,1948588825632
1787621799,enhanced,102842,1071,1153,50775,528,1696,0,0
1787621805,enhanced,102842,1071,1153,50775,528,1696,0,0
1787621811,enhanced,103476,1077,1174,63689,663,1871,0,0
1787621816,enhanced,103476,1077,1174,63689,663,1871,0,0
1787621822,enhanced,104334,1086,1189,74559,776,2228,0,0
1787621827,enhanced,104334,1086,1189,74559,776,2228,0,0
1787621833,enhanced,104334,1086,1189,74559,776,2228,0,0
1787621838,enhanced,104816,1091,1197,89104,928,2550,0,0
1787621844,enhanced,104816,1091,1197,89104,928,2550,0,0
1787621850,enhanced,104816,1091,1197,89104,928,2550,2069223853580,2033185554228
1787621859,enhanced,104604,1101,1214,99189,1044,2985,0,0
1787621864,enhanced,104604,1101,1214,99189,1044,2985,0,0
1787621870,enhanced,98732,1073,1239,94573,1027,3039,2094664897856,2058974191700
1787621879,enhanced,98732,1073,1239,94573,1027,3039,0,0
1787621884,enhanced,96702,1039,1239,92299,992,3066,0,0
1787621890,enhanced,96702,1039,1239,92299,992,3066,2130479807036,2094931873576
1787621899,enhanced,86051,989,1285,83558,960,2925,0,0
1787621904,enhanced,86051,989,1285,83558,960,2925,0,0
1787621910,enhanced,86051,989,1285,83558,960,2925,2196167850292,2159593014072
1787621919,enhanced,73180,914,1313,113501,1418,2981,0,0
1787621925,enhanced,73180,914,1313,113501,1418,2981,0,0
1787621930,enhanced,63554,765,1325,87150,1050,2840,2244777861744,2204124169024
1787621939,enhanced,63554,765,1325,87150,1050,2840,0,0
1787621945,enhanced,64937,729,1283,69231,777,2801,0,0
1787621951,enhanced,64937,729,1283,69231,777,2801,0,0
1787621956,enhanced,66660,748,1277,74066,832,2834,0,0
1787621962,enhanced,66660,748,1277,74066,832,2834,0,0
1787621967,enhanced,66660,748,1277,74066,832,2834,0,0
1787621973,enhanced,60633,767,1284,73479,930,2929,0,0
1787621978,enhanced,60633,767,1284,73479,930,2929,0,0
1787621984,enhanced,60633,767,1284,73479,930,2929,0,0
1787621989,enhanced,55774,697,1337,75912,948,2940,0,0
1787621995,enhanced,55774,697,1337,75912,948,2940,0,0
1787622000,enhanced,56335,731,1311,66566,864,2888,2151760806716,2097699115620
1787622009,enhanced,56335,731,1311,66566,864,2888,0,0
1787622015,enhanced,56335,731,1311,66566,864,2888,0,0
1787622020,enhanced,57380,775,1302,58300,787,2885,1869221577964,1826216048772
1787622029,enhanced,57380,775,1302,58300,787,2885,0,0
1787622034,enhanced,55998,799,1317,53971,771,2835,0,0
1787622040,enhanced,55998,799,1317,53971,771,2835,2099973720108,2088571804720
1787622049,enhanced,55130,697,1324,45822,580,2879,0,0
1787622054,enhanced,55130,697,1324,45822,580,2879,0,0
1787622059,enhanced,55130,697,1324,45822,580,2879,0,0
1787622065,enhanced,64227,764,1239,61461,731,2798,0,0
1787622070,enhanced,64227,764,1239,61461,731,2798,2253938864072,2225334566104
1787622079,enhanced,60288,793,1269,74329,978,2762,0,0
1787622085,enhanced,60288,793,1269,74329,978,2762,0,0
1787622090,enhanced,60288,793,1269,74329,978,2762,1747994227924,1738846551160
1787622099,enhanced,47052,746,1241,47844,759,2758,0,0
1787622104,enhanced,47052,746,1241,47844,759,2758,0,0
1787622109,enhanced,48480,723,1171,52860,788,2573,0,0
1787622115,enhanced,48480,723,1171,52860,788,2573,0,0
1787622120,enhanced,0,0,0,0,0,0,0,0
1787622125,enhanced,0,0,0,0,0,0,0,0
1787622131,enhanced,0,0,0,0,0,0,0,0
1787622136,enhanced,0,0,0,0,0,0,0,0
1787622141,enhanced,0,0,0,0,0,0,0,0
1787622146,enhanced,0,0,0,0,0,0,0,0
1787622151,enhanced,0,0,0,0,0,0,0,0
1787622156,enhanced,0,0,0,0,0,0,0,0
1787622161,enhanced,0,0,0,0,0,0,0,0
1787622166,enhanced,0,0,0,0,0,0,0,0
1787622171,enhanced,0,0,0,0,0,0,0,0
# monitor exited at 1787622176
