timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787926001,enhanced,317,19,64,300,18,20,0,0
1787926006,enhanced,317,19,64,300,18,20,0,0
1787926012,enhanced,317,19,64,300,18,20,0,0
1787926017,enhanced,4935,308,507,505,31,37,0,0
1787926022,enhanced,4935,308,507,505,31,37,0,0
1787926027,enhanced,4935,308,507,505,31,37,0,0
1787926033,enhanced,8220,513,583,664,41,47,0,0
1787926038,enhanced,8220,513,583,664,41,47,0,0
1787926043,enhanced,8220,513,583,664,41,47,0,0
1787926048,enhanced,8363,522,599,768,48,54,0,0
1787926053,enhanced,8363,522,599,768,48,54,0,0
1787926059,enhanced,8363,522,599,768,48,54,0,0
1787926064,enhanced,8280,517,601,893,55,63,0,0
1787926069,enhanced,8280,517,601,893,55,63,0,0
1787926074,enhanced,8273,517,599,923,57,63,0,0
1787926080,enhanced,8273,517,599,923,57,63,10722598411,1357878223
1787926087,enhanced,8273,517,599,923,57,63,0,0
1787926093,enhanced,8026,501,599,938,58,66,0,0
1787926098,enhanced,8026,501,599,938,58,66,0,0
1787926103,enhanced,8026,501,599,938,58,66,0,0
1787926108,enhanced,7680,480,600,948,59,68,0,0
1787926113,enhanced,7680,480,600,948,59,68,0,0
1787926119,enhanced,7680,480,600,948,59,68,0,0
1787926124,enhanced,6079,379,599,925,57,64,0,0
1787926129,enhanced,6079,379,599,925,57,64,0,0
1787926134,enhanced,4669,291,596,949,59,70,0,0
1787926140,enhanced,4669,291,596,949,59,70,11701367312,1902586545
1787926147,enhanced,4669,291,596,949,59,70,0,0
1787926153,enhanced,3745,234,600,946,59,72,0,0
1787926158,enhanced,3745,234,600,946,59,72,0,0
1787926163,enhanced,3745,234,600,946,59,72,0,0
1787926168,enhanced,3405,212,601,979,61,78,0,0
1787926174,enhanced,3405,212,601,979,61,78,0,0
1787926179,enhanced,3405,212,601,979,61,78,0,0
1787926184,enhanced,3392,212,600,1011,63,88,0,0
1787926189,enhanced,3392,212,600,1011,63,88,0,0
1787926195,enhanced,3348,209,601,1016,63,87,0,0
1787926200,enhanced,3348,209,601,1016,63,87,12657888424,2430311774
1787926208,enhanced,3348,209,601,1016,63,87,0,0
1787926213,enhanced,3380,211,599,1044,65,96,0,0
1787926218,enhanced,3380,211,599,1044,65,96,0,0
1787926223,enhanced,3380,211,599,1044,65,96,0,0
1787926229,enhanced,3357,209,599,1063,66,100,0,0
1787926234,enhanced,3357,209,599,1063,66,100,0,0
1787926239,enhanced,3382,211,601,1063,66,110,0,0
1787926244,enhanced,3382,211,601,1063,66,110,0,0
1787926250,enhanced,3382,211,601,1063,66,110,13464161416,2864985329
1787926258,enhanced,3355,209,599,1101,68,112,0,0
1787926263,enhanced,3355,209,599,1101,68,112,0,0
1787926268,enhanced,3355,209,599,1101,68,112,0,0
1787926274,enhanced,3375,210,600,1122,70,117,0,0
1787926279,enhanced,3375,210,600,1122,70,117,0,0
1787926284,enhanced,3315,207,595,1142,71,121,0,0
1787926290,enhanced,3315,207,595,1142,71,121,14093051802,3214737661
1787926298,enhanced,3315,207,595,1142,71,121,0,0
1787926303,enhanced,3286,205,591,1168,73,130,0,0
1787926308,enhanced,3286,205,591,1168,73,130,0,0
1787926313,enhanced,3286,205,591,1168,73,130,0,0
1787926318,enhanced,1762,110,483,1124,70,132,0,0
1787926324,enhanced,1762,110,483,1124,70,132,0,0
1787926329,enhanced,1762,110,483,1124,70,132,0,0
1787926334,enhanced,347,21,56,977,61,103,0,0
1787926339,enhanced,347,21,56,977,61,103,0,0
1787926344,enhanced,130,8,14,975,60,103,0,0
# monitor exited at 1787926375
