timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787620090,enhanced,0,0,0,0,0,0,0,0
1787620095,enhanced,0,0,0,0,0,0,0,0
1787620100,enhanced,0,0,0,0,0,0,0,0
1787620105,enhanced,0,0,0,0,0,0,0,0
1787620110,enhanced,0,0,0,0,0,0,0,0
1787620115,enhanced,0,0,0,0,0,0,0,0
1787620120,enhanced,0,0,0,0,0,0,0,0
1787620125,enhanced,0,0,0,0,0,0,0,0
1787620131,enhanced,0,0,0,0,0,0,0,0
1787620136,enhanced,0,0,0,0,0,0,0,0
1787620141,enhanced,0,0,0,0,0,0,0,0
1787620146,enhanced,0,0,0,0,0,0,0,0
1787620151,enhanced,0,0,0,0,0,0,0,0
1787620156,enhanced,1667,83,91,679,33,36,0,0
1787620161,enhanced,1667,83,91,679,33,36,0,0
1787620166,enhanced,1667,83,91,679,33,36,0,0
1787620171,enhanced,2314,57,92,1190,29,37,0,0
1787620177,enhanced,2314,57,92,1190,29,37,0,0
1787620182,enhanced,2314,57,92,1190,29,37,0,0
1787620187,enhanced,2173,38,96,1425,25,37,0,0
1787620193,enhanced,2173,38,96,1425,25,37,0,0
1787620198,enhanced,2173,38,96,1425,25,37,0,0
1787620203,enhanced,1062,16,92,1399,22,37,0,0
1787620209,enhanced,1062,16,92,1399,22,37,0,0
1787620214,enhanced,1062,16,92,1399,22,37,0,0
1787620220,enhanced,1035,12,91,1772,22,37,47221091200,234743216
1787620228,enhanced,1035,12,91,1772,22,37,0,0
1787620234,enhanced,1128,11,85,2123,22,37,0,0
1787620239,enhanced,1128,11,85,2123,22,37,0,0
1787620245,enhanced,1128,11,85,2123,22,37,0,0
1787620251,enhanced,8143,84,469,4468,46,167,0,0
1787620256,enhanced,8143,84,469,4468,46,167,0,0
1787620262,enhanced,85387,889,1119,18909,196,517,0,0
1787620267,enhanced,85387,889,1119,18909,196,517,0,0
1787620273,enhanced,85387,889,1119,18909,196,517,0,0
1787620278,enhanced,101738,1059,1107,27739,288,824,0,0
1787620284,enhanced,101738,1059,1107,27739,288,824,0,0
1787620290,enhanced,101738,1059,1107,27739,288,824,130565513288,83240044552
1787620299,enhanced,102161,1064,1117,37180,387,1157,0,0
1787620304,enhanced,102161,1064,1117,37180,387,1157,0,0
1787620310,enhanced,102652,1069,1151,46398,483,1437,161252493580,113796734340
1787620319,enhanced,102652,1069,1151,46398,483,1437,0,0
1787620325,enhanced,102924,1072,1169,56267,586,1835,0,0
1787620330,enhanced,102924,1072,1169,56267,586,1835,190637332724,143452028832
1787620339,enhanced,103412,1077,1185,66976,697,2145,0,0
1787620345,enhanced,103412,1077,1185,66976,697,2145,0,0
1787620350,enhanced,103412,1077,1185,66976,697,2145,219738259872,172870290780
1787620359,enhanced,103906,1082,1214,79173,824,2599,0,0
1787620365,enhanced,103906,1082,1214,79173,824,2599,0,0
1787620371,enhanced,104479,1088,1225,89179,928,2918,0,0
1787620376,enhanced,104479,1088,1225,89179,928,2918,0,0
1787620382,enhanced,101321,1089,1233,94619,1017,2988,0,0
1787620387,enhanced,101321,1089,1233,94619,1017,2988,0,0
1787620393,enhanced,101321,1089,1233,94619,1017,2988,0,0
1787620398,enhanced,98676,1072,1209,90399,982,3009,0,0
1787620404,enhanced,98676,1072,1209,90399,982,3009,0,0
1787620409,enhanced,98676,1072,1209,90399,982,3009,0,0
1787620415,enhanced,94382,1060,1211,85054,955,2848,0,0
1787620421,enhanced,94382,1060,1211,85054,955,2848,0,0
1787620426,enhanced,84714,996,1253,94963,1117,2316,0,0
1787620432,enhanced,84714,996,1253,94963,1117,2316,0,0
1787620437,enhanced,84714,996,1253,94963,1117,2316,0,0
1787620443,enhanced,80256,955,1312,130770,1556,2935,0,0
1787620448,enhanced,80256,955,1312,130770,1556,2935,0,0
1787620454,enhanced,80256,955,1312,130770,1556,2935,0,0
1787620459,enhanced,61914,764,1325,89065,1099,2980,0,0
1787620465,enhanced,61914,764,1325,89065,1099,2980,0,0
1787620471,enhanced,55683,625,1310,55979,628,2674,0,0
1787620476,enhanced,55683,625,1310,55979,628,2674,0,0
1787620482,enhanced,55683,625,1310,55979,628,2674,0,0
1787620487,enhanced,76323,867,1290,65692,746,2842,0,0
1787620493,enhanced,76323,867,1290,65692,746,2842,0,0
1787620498,enhanced,76323,867,1290,65692,746,2842,0,0
1787620504,enhanced,67709,835,1315,64381,794,2704,0,0
1787620509,enhanced,67709,835,1315,64381,794,2704,0,0
1787620515,enhanced,67709,835,1315,64381,794,2704,0,0
1787620520,enhanced,51533,644,1311,71810,897,2869,455120817912,417642647984
1787620530,enhanced,51533,644,1311,71810,897,2869,542239173568,500134822608
1787620539,enhanced,54891,703,1295,71052,910,2807,0,0
1787620544,enhanced,54891,703,1295,71052,910,2807,0,0
1787620550,enhanced,63430,845,1297,78823,1050,2899,501654699136,459050906420
1787620559,enhanced,63430,845,1297,78823,1050,2899,0,0
1787620564,enhanced,50937,760,1300,56214,839,2876,0,0
1787620570,enhanced,50937,760,1300,56214,839,2876,541275648316,500245621112
1787620578,enhanced,54622,700,1315,54262,695,2831,0,0
1787620584,enhanced,54622,700,1315,54262,695,2831,0,0
1787620589,enhanced,54622,700,1315,54262,695,2831,0,0
1787620595,enhanced,55232,699,1288,44396,561,2870,0,0
1787620600,enhanced,55232,699,1288,44396,561,2870,586850709016,552860816216
1787620609,enhanced,57200,794,1247,48132,668,2975,0,0
1787620614,enhanced,57200,794,1247,48132,668,2975,0,0
1787620620,enhanced,57200,794,1247,48132,668,2975,556186425336,511864217416
1787620629,enhanced,51811,729,1181,46903,660,2865,0,0
1787620634,enhanced,51811,729,1181,46903,660,2865,0,0
1787620639,enhanced,46629,695,1184,43609,650,3044,0,0
1787620645,enhanced,46629,695,1184,43609,650,3044,0,0
1787620650,enhanced,46629,695,1184,43609,650,3044,581508996660,546753380872
1787620659,enhanced,40881,681,1201,44597,743,2646,0,0
1787620664,enhanced,40881,681,1201,44597,743,2646,0,0
1787620670,enhanced,42521,708,1193,29971,499,2910,565535925840,517299128548
1787620678,enhanced,42521,708,1193,29971,499,2910,0,0
1787620684,enhanced,43693,662,1160,26137,396,2673,0,0
1787620689,enhanced,43693,662,1160,26137,396,2673,0,0
1787620694,enhanced,43693,662,1160,26137,396,2673,0,0
1787620700,enhanced,42036,568,1173,32067,433,2470,752255056696,713230828688
1787620708,enhanced,42036,568,1173,32067,433,2470,0,0
1787620714,enhanced,54766,684,1137,43514,543,2798,0,0
1787620719,enhanced,54766,684,1137,43514,543,2798,0,0
1787620725,enhanced,54766,684,1137,43514,543,2798,0,0
1787620730,enhanced,0,0,0,0,0,0,0,0
1787620735,enhanced,0,0,0,0,0,0,0,0
1787620740,enhanced,0,0,0,0,0,0,0,0
1787620746,enhanced,0,0,0,0,0,0,0,0
1787620751,enhanced,0,0,0,0,0,0,0,0
1787620756,enhanced,0,0,0,0,0,0,0,0
1787620761,enhanced,0,0,0,0,0,0,0,0
1787620766,enhanced,0,0,0,0,0,0,0,0
1787620771,enhanced,0,0,0,0,0,0,0,0
1787620776,enhanced,0,0,0,0,0,0,0,0
1787620781,enhanced,0,0,0,0,0,0,0,0
1787620786,enhanced,0,0,0,0,0,0,0,0
# monitor exited at 1787620791
