timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787926484,rapidchain,827,51,69,300,18,20,0,0
1787926489,rapidchain,827,51,69,300,18,20,0,0
1787926494,rapidchain,729,45,184,323,20,28,0,0
1787926500,rapidchain,729,45,184,323,20,28,19791700325,3649019188
1787926508,rapidchain,729,45,184,323,20,28,0,0
1787926513,rapidchain,5033,314,597,633,39,100,0,0
1787926518,rapidchain,5033,314,597,633,39,100,0,0
1787926523,rapidchain,5033,314,597,633,39,100,0,0
1787926529,rapidchain,4424,276,600,810,50,107,0,0
1787926534,rapidchain,4424,276,600,810,50,107,0,0
1787926539,rapidchain,4746,296,602,853,53,112,0,0
1787926544,rapidchain,4746,296,602,853,53,112,0,0
1787926550,rapidchain,4746,296,602,853,53,112,20897527214,4590326610
1787926558,rapidchain,5522,345,602,938,58,118,0,0
1787926563,rapidchain,5522,345,602,938,58,118,0,0
1787926568,rapidchain,5522,345,602,938,58,118,0,0
1787926573,rapidchain,6177,386,599,999,62,128,0,0
1787926579,rapidchain,6177,386,599,999,62,128,0,0
1787926584,rapidchain,6177,386,599,999,62,128,0,0
1787926589,rapidchain,5778,361,600,1026,64,128,0,0
1787926594,rapidchain,5778,361,600,1026,64,128,0,0
1787926599,rapidchain,5723,357,600,1037,64,138,0,0
1787926605,rapidchain,5723,357,600,1037,64,138,0,0
1787926610,rapidchain,5723,357,600,1037,64,138,21713849229,5347011112
1787926618,rapidchain,6043,377,600,1073,67,150,0,0
1787926623,rapidchain,6043,377,600,1073,67,150,0,0
1787926628,rapidchain,6043,377,600,1073,67,150,0,0
1787926633,rapidchain,5866,366,601,1100,68,150,0,0
1787926638,rapidchain,5866,366,601,1100,68,150,0,0
1787926643,rapidchain,5866,366,601,1100,68,150,0,0
1787926649,rapidchain,5185,324,601,1152,72,164,0,0
1787926654,rapidchain,5185,324,601,1152,72,164,0,0
1787926659,rapidchain,5185,324,601,1152,72,164,0,0
1787926664,rapidchain,4619,288,601,1164,72,164,0,0
1787926669,rapidchain,4619,288,601,1164,72,164,0,0
1787926674,rapidchain,4826,301,601,1205,75,164,0,0
1787926680,rapidchain,4826,301,601,1205,75,164,22153380060,5756412172
1787926687,rapidchain,4826,301,601,1205,75,164,0,0
1787926692,rapidchain,4713,294,601,1253,78,170,0,0
1787926698,rapidchain,4713,294,601,1253,78,170,0,0
1787926703,rapidchain,4713,294,601,1253,78,170,0,0
1787926708,rapidchain,5196,324,600,1262,78,158,0,0
1787926713,rapidchain,5196,324,600,1262,78,158,0,0
1787926718,rapidchain,5196,324,600,1262,78,158,0,0
1787926723,rapidchain,5124,320,601,1288,80,158,0,0
1787926729,rapidchain,5124,320,601,1288,80,158,0,0
1787926734,rapidchain,5124,320,601,1288,80,158,0,0
1787926739,rapidchain,5264,329,601,1322,82,162,0,0
1787926744,rapidchain,5264,329,601,1322,82,162,0,0
1787926749,rapidchain,5213,325,602,1384,86,172,0,0
1787926754,rapidchain,5213,325,602,1384,86,172,0,0
1787926760,rapidchain,5213,325,602,1384,86,172,22444204041,6034639033
1787926767,rapidchain,5261,328,601,1498,93,202,0,0
1787926772,rapidchain,5261,328,601,1498,93,202,0,0
1787926777,rapidchain,5261,328,601,1498,93,202,0,0
1787926783,rapidchain,5292,330,600,1479,92,189,0,0
1787926788,rapidchain,5292,330,600,1479,92,189,0,0
1787926793,rapidchain,5292,330,600,1479,92,189,0,0
1787926798,rapidchain,5169,323,601,1545,96,173,0,0
1787926803,rapidchain,5169,323,601,1545,96,173,0,0
1787926808,rapidchain,5169,323,601,1545,96,173,0,0
1787926814,rapidchain,4517,282,601,1575,98,180,0,0
1787926819,rapidchain,4517,282,601,1575,98,180,0,0
1787926824,rapidchain,4517,282,601,1575,98,180,0,0
1787926829,rapidchain,4274,267,601,1543,96,180,0,0
1787926834,rapidchain,4274,267,601,1543,96,180,0,0
1787926839,rapidchain,4595,287,601,1613,100,191,0,0
1787926845,rapidchain,4595,287,601,1613,100,191,0,0
1787926850,rapidchain,4595,287,601,1613,100,191,22799746179,6370765222
1787926857,rapidchain,4346,271,601,1643,102,191,0,0
1787926862,rapidchain,4346,271,601,1643,102,191,0,0
1787926868,rapidchain,4346,271,601,1643,102,191,0,0
1787926873,rapidchain,4349,271,601,1674,104,198,0,0
1787926878,rapidchain,4349,271,601,1674,104,198,0,0
1787926883,rapidchain,4349,271,601,1674,104,198,0,0
1787926888,rapidchain,4449,278,602,1736,108,198,0,0
1787926893,rapidchain,4449,278,602,1736,108,198,0,0
1787926899,rapidchain,4449,278,602,1736,108,198,0,0
1787926904,rapidchain,4428,276,602,1816,113,207,0,0
1787926909,rapidchain,4428,276,602,1816,113,207,0,0
1787926914,rapidchain,4428,276,602,1816,113,207,0,0
1787926919,rapidchain,4223,263,600,1888,118,208,0,0
1787926924,rapidchain,4223,263,600,1888,118,208,0,0
